Epoch,Loss
1.0,0.7215026893786022
2.0,0.7854202006544385
3.0,0.714607013123376
4.0,0.7333391989980426
5.0,0.6682298843349729
6.0,0.7082020214625767
7.0,0.7086131870746613
8.0,0.7217964359692165
9.0,0.6935088591916221
10.0,0.7055573101554599
11.0,0.7447852534907204
12.0,0.6884395820753915
13.0,0.752410643867084
14.0,0.6923439992325646
15.0,0.6919970405953271
16.0,0.722562598330634
17.0,0.7040239764111382
18.0,0.6724297255277634
19.0,0.6970348209142685
20.0,0.7120700691427503
21.0,0.6373823072229113
22.0,0.7564238501446587
23.0,0.7590454348496029
24.0,0.7207474900143487
25.0,0.6794366070202419
26.0,0.6887794796909604
27.0,0.6819401170526233
28.0,0.7099541042532239
29.0,0.7489660573857171
30.0,0.6845595240592957
31.0,0.715357203568731
32.0,0.71129338656153
33.0,0.6368414674486432
34.0,0.7373900839260646
35.0,0.7178609392472676
36.0,0.7321025856903621
37.0,0.7152511009148189
38.0,0.7101698304925647
39.0,0.728358792407172
40.0,0.6892386334283012
41.0,0.7123932944876807
42.0,0.7396928753171649
43.0,0.660693177155086
44.0,0.7590691936867577
45.0,0.7337252880845752
46.0,0.7814885207584926
47.0,0.6777959678854261
48.0,0.7155061193874904
49.0,0.6743986925908497
50.0,0.7099885940551758
51.0,0.7506178936788014
52.0,0.7193659586565835
53.0,0.7617028909070152
54.0,0.7190581006663186
55.0,0.6714688241481781
56.0,0.7121932400124413
57.0,0.7397656611033848
58.0,0.6917816592114312
59.0,0.7567777846540723
60.0,0.7241255513259343
61.0,0.7493609637022018
62.0,0.6866905561515263
63.0,0.7883990705013275
64.0,0.7409492475645882
65.0,0.7531188258102962
66.0,0.702262499502727
67.0,0.7206453830003738
68.0,0.7142724394798279
69.0,0.6557166533810752
70.0,0.7148783717836652
71.0,0.6904891644205365
72.0,0.7546079478093556
73.0,0.722821655017989
74.0,0.6651354687554496
75.0,0.7901345086949212
76.0,0.7624676866190774
77.0,0.7171970690999713
78.0,0.7116713098117283
79.0,0.6943240655320031
80.0,0.7039212541920798
81.0,0.7595491707324982
82.0,0.6971573148454938
83.0,0.7233767317874091
84.0,0.7091750885759082
85.0,0.7132445914404733
86.0,0.7156427694218499
87.0,0.7537398827927453
88.0,0.6843996814319065
89.0,0.7203397112233298
90.0,0.6695535097803388
91.0,0.6932327385459628
92.0,0.698326085294996
93.0,0.7578103840351105
94.0,0.7295637854507991
95.0,0.7306800612381527
96.0,0.6974676421710423
97.0,0.7221378045422691
98.0,0.7118109805243356
99.0,0.6186398310320718
100.0,0.7389376078333173
